BatTeam,Batter,PA,BA,MaxOpp,BA_per_MaxOpp
STL,Kramer Robertson,1,1,1,1
STL,Albert Pujols,4,4,5,0.8
BOS,Christian VA!zquez,7,3,4,0.75
BOS,J.D. Martinez,5,8,11,0.7272727272727273
TB,Manuel Margot,7,5,7,0.7142857142857143
DET,Willi Castro,9,6,10,0.6
KCR,Edward Olivares,2,3,5,0.6
LAA,Taylor Ward,12,10,18,0.5555555555555556
MIN,Ryan Jeffers,11,7,13,0.5384615384615384
LAA,Jared Walsh,9,11,21,0.5238095238095238
LAA,Anthony Rendon,15,14,28,0.5
KCR,Emmanuel Rivera,6,6,12,0.5
BOS,Jaylin Davis,4,1,2,0.5
DET,Miguel Cabrera,12,6,13,0.46153846153846156
DET,Harold Castro,5,5,11,0.45454545454545453
MIL,Andrew McCutchen,8,8,18,0.4444444444444444
LAA,Jo Adell,6,6,14,0.42857142857142855
STL,Paul Goldschmidt,12,6,14,0.42857142857142855
NYY,Giancarlo Stanton,46,29,68,0.4264705882352941
NYY,Jose Trevino,18,14,34,0.4117647058823529
OAK,Christian Bethancourt,16,5,13,0.38461538461538464
TB,Harold RamA-rez,13,8,21,0.38095238095238093
STL,Tommy Edman,13,6,16,0.375
TOR,Bradley Zimmer,3,3,8,0.375
TB,Wander Franco,18,7,19,0.3684210526315789
LAA,Brandon Marsh,6,5,15,0.3333333333333333
DET,Derek Hill,9,3,9,0.3333333333333333
OAK,Billy McKinney,14,2,6,0.3333333333333333
STL,Corey Dickerson,4,2,6,0.3333333333333333
BAL,Kelvin Gutierrez,3,1,3,0.3333333333333333
MIN,Luis ArrA!ez,8,1,3,0.3333333333333333
TB,Randy Arozarena,23,12,37,0.32432432432432434
TB,Mike Zunino,10,7,22,0.3181818181818182
TB,Brett Phillips,14,6,19,0.3157894736842105
MIN,Gary SA!nchez,12,4,13,0.3076923076923077
OAK,Sheldon Neuse,16,9,30,0.3
BOS,Christian Arroyo,8,3,10,0.3
MIN,Gilberto Celestino,7,3,10,0.3
NYY,Tim Locastro,8,3,10,0.3
KCR,Salvador Perez,13,5,17,0.29411764705882354
LAA,Mike Trout,16,5,17,0.29411764705882354
MIL,Christian Yelich,10,6,21,0.2857142857142857
MIN,Jorge Polanco,17,6,21,0.2857142857142857
BOS,Franchy Cordero,9,4,14,0.2857142857142857
LAA,Andrew Velazquez,10,2,7,0.2857142857142857
STL,Harrison Bader,7,2,7,0.2857142857142857
NYY,Anthony Rizzo,49,24,86,0.27906976744186046
BOS,Enrique HernA!ndez,13,5,18,0.2777777777777778
TB,Francisco Mejia,11,5,18,0.2777777777777778
KCR,Ryan O'Hearn,8,3,11,0.2727272727272727
STL,Brendan Donovan,10,3,11,0.2727272727272727
TB,Brandon Lowe,13,7,26,0.2692307692307692
KCR,Nicky Lopez,8,4,15,0.26666666666666666
BAL,Robinson Chirinos,92,31,117,0.26495726495726496
NYY,Isiah Kiner-Falefa,35,9,34,0.2647058823529412
BAL,Kelvin GutiA(C)rrez,29,14,53,0.2641509433962264
NYY,Aaron Judge,44,20,76,0.2631578947368421
BOS,Xander Bogaerts,14,6,23,0.2608695652173913
BAL,Trey Mancini,160,62,247,0.25101214574898784
OAK,Sean Murphy,16,7,28,0.25
TB,Jiman Choi,19,6,24,0.25
TB,Josh Lowe,12,4,16,0.25
TOR,Matt Chapman,2,2,8,0.25
TOR,Raimel Tapia,4,2,8,0.25
MIN,Byron Buxton,15,5,22,0.22727272727272727
NYY,Kyle Higashioka,22,7,31,0.22580645161290322
TB,Yandy DA-az,14,4,18,0.2222222222222222
MIL,Rowdy Tellez,6,2,9,0.2222222222222222
TOR,Cavan Biggio,4,2,9,0.2222222222222222
BAL,Austin Hays,156,58,264,0.2196969696969697
NYY,Gleyber Torres,42,17,78,0.21794871794871795
NYY,DJ LeMahieu,42,11,51,0.21568627450980393
MIN,JosA(C) Miranda,17,6,29,0.20689655172413793
OAK,Kevin Smith,3,2,10,0.2
LAA,Max Stassi,7,1,5,0.2
MIL,Omar NarvA!ez,4,1,5,0.2
BAL,Anthony Santander,173,60,301,0.19933554817275748
BAL,Cedric Mullins,183,44,229,0.19213973799126638
BAL,RamA³n UrA-as,117,36,189,0.19047619047619047
OAK,Seth Brown,17,8,42,0.19047619047619047
BOS,Rafael Devers,14,4,21,0.19047619047619047
BAL,Tyler Nevin,74,19,102,0.18627450980392157
STL,Juan Yepez,15,4,22,0.18181818181818182
TOR,Santiago Espinal,4,2,11,0.18181818181818182
BAL,Ryan Mountcastle,122,37,207,0.178743961352657
BAL,Rougned Odor,115,30,174,0.1724137931034483
NYY,Joey Gallo,42,12,72,0.16666666666666666
MIN,Carlos Correa,18,5,30,0.16666666666666666
DET,Spencer Torkelson,10,3,18,0.16666666666666666
MIL,Victor Caratini,4,1,6,0.16666666666666666
BAL,Anthony Bemboom,56,12,74,0.16216216216216217
KCR,Hunter Dozier,13,4,25,0.16
TB,Kevin Kiermaier,17,4,27,0.14814814814814814
MIN,Nick Gordon,7,1,7,0.14285714285714285
KCR,Michael A. Taylor,11,3,22,0.13636363636363635
BOS,Jackie Bradley Jr.,12,2,16,0.125
DET,Robbie Grossman,12,1,8,0.125
KCR,Kyle Isbel,7,1,8,0.125
TB,Harold Ramirez,3,1,8,0.125
BAL,Jorge Mateo,138,24,194,0.12371134020618557
DET,Jonathan Schoop,12,2,18,0.1111111111111111
BAL,Ryan McKenna,41,7,64,0.109375
DET,Tucker Barnhart,7,2,21,0.09523809523809523
NYY,Marwin GonzA!lez,13,2,22,0.09090909090909091
OAK,Tony Kemp,16,1,12,0.08333333333333333
BAL,Chris Owings,52,6,74,0.08108108108108109
MIL,Jace Peterson,7,1,14,0.07142857142857142
BOS,Trevor Story,14,1,15,0.06666666666666667
MIL,Hunter Renfroe,9,1,16,0.0625
NYY,Aaron Hicks,25,2,34,0.058823529411764705
KCR,Andrew Benintendi,13,1,17,0.058823529411764705
MIN,Trevor Larnach,14,1,17,0.058823529411764705
BAL,Ramon Urias,8,1,19,0.05263157894736842
MIN,Max Kepler,11,1,19,0.05263157894736842
NYY,Josh Donaldson,47,4,84,0.047619047619047616
OAK,Elvis Andrus,17,1,21,0.047619047619047616
STL,Nolan Arenado,12,1,21,0.047619047619047616
BAL,Rylan Bannon,15,1,23,0.043478260869565216
OAK,Cristian Pache,14,1,30,0.03333333333333333
DET,Eric Haase,3,1,0,0
BAL,Adley Rutschman,4,0,3,0
BAL,DJ Stewart,3,0,5,0
BOS,Bobby Dalbec,4,0,0,0
BOS,Kevin Plawecki,4,0,3,0
DET,Austin Meadows,1,0,0,0
DET,Jeimer Candelario,7,0,13,0
DET,VA-ctor Reyes,1,0,0,0
KCR,Bobby Witt Jr.,13,0,10,0
KCR,MJ Melendez,7,0,6,0
KCR,Whit Merrifield,12,0,15,0
LAA,Kurt Suzuki,4,0,6,0
