Pitcher,BFP,BAP,MaxOpp,BAP_per_BFP,BAP_per_MaxOpp
Gabe Speier,6,1,3,0.16666666666666666,0.3333333333333333
Griffin Jax,9,1,3,0.1111111111111111,0.3333333333333333
Joe Smith,1,1,4,1,0.25
Wily Peralta,9,2,12,0.2222222222222222,0.16666666666666666
JT Chargois,2,1,6,0.5,0.16666666666666666
Hoby Milner,2,1,10,0.5,0.1
Chris Archer,17,1,12,0.058823529411764705,0.08333333333333333
Clay Holmes,20,1,21,0.05,0.047619047619047616
Jalen Beeks,15,1,25,0.06666666666666667,0.04
A.J. Puk,6,0,6,0,0
Adam Kolarek,3,0,0,0,0
Andre Pallante,3,0,0,0,0
Brad Boxberger,4,0,3,0,0
Caleb Thielbar,9,0,5,0,0
Cionel Perez,3,0,0,0,0
Cody Stashak,4,0,9,0,0
Colin Poche,7,0,1,0,0
Denyi Reyes,6,0,0,0,0
Dylan Coleman,5,0,14,0,0
Emilio PagA!n,4,0,9,0,0
Giovanny Gallegos,3,0,0,0,0
Jacob Barnes,6,0,0,0,0
Jacob Lemoine,2,0,10,0,0
Jake Diekman,3,0,0,0,0
Jason Adam,7,0,5,0,0
Jason Foley,7,0,6,0,0
Jhoan Duran,8,0,5,0,0
Josh Fleming,12,0,11,0,0
Josh Hader,5,0,11,0,0
Jovani MorA!n,9,0,6,0,0
Kutter Crawford,2,0,0,0,0
Matt Strahm,2,0,7,0,0
Michael Pineda,4,0,0,0,0
Raisel Iglesias,3,0,0,0,0
Rich Hill,13,0,0,0,0
Rony GarcA-a,7,0,0,0,0
Ryan Brasier,3,0,0,0,0
Ryan Castellani,5,0,9,0,0
Sam Moll,6,0,3,0,0
Taylor Clarke,3,0,0,0,0
Tim Mayza,1,0,5,0,0
Tyler Duffey,5,0,0,0,0
Will Vest,2,0,12,0,0
Cole Irvin,23,-1,47,-0.043478260869565216,-0.02127659574468085
Nick Wittgren,10,-1,25,-0.1,-0.04
Steven Matz,27,-1,25,-0.037037037037037035,-0.04
Ryan Yarbrough,18,-1,22,-0.05555555555555555,-0.045454545454545456
Shane McClanahan,19,-2,37,-0.10526315789473684,-0.05405405405405406
Corey Kluber,22,-2,36,-0.09090909090909091,-0.05555555555555555
Daulton Jefferies,25,-2,35,-0.08,-0.05714285714285714
Nick Vespi,7,-1,17,-0.14285714285714285,-0.058823529411764705
Michael King,29,-3,49,-0.10344827586206896,-0.061224489795918366
Eduardo RodrA-guez,28,-3,47,-0.10714285714285714,-0.06382978723404255
Ronald BolaA+/-os,9,-1,15,-0.1111111111111111,-0.06666666666666667
Tarik Skubal,24,-3,41,-0.125,-0.07317073170731707
Jake Cousins,6,-1,13,-0.16666666666666666,-0.07692307692307693
Joel Payamps,7,-1,13,-0.14285714285714285,-0.07692307692307693
Domingo Acevedo,7,-2,23,-0.2857142857142857,-0.08695652173913043
Aaron Ashby,14,-3,34,-0.21428571428571427,-0.08823529411764706
T.J. McFarland,8,-1,11,-0.125,-0.09090909090909091
Nestor Cortes,19,-2,22,-0.10526315789473684,-0.09090909090909091
Nathan Eovaldi,26,-3,32,-0.11538461538461539,-0.09375
Alex Wells,16,-2,21,-0.125,-0.09523809523809523
Logan Gillaspie,14,-1,10,-0.07142857142857142,-0.1
Andrew Chafin,6,-2,20,-0.3333333333333333,-0.1
Noah Syndergaard,28,-4,39,-0.14285714285714285,-0.10256410256410256
Jeffrey Springs,25,-3,28,-0.12,-0.10714285714285714
David Phelps,4,-1,9,-0.25,-0.1111111111111111
Kevin Plawecki,4,-1,9,-0.25,-0.1111111111111111
Andrew Kittredge,10,-2,17,-0.2,-0.11764705882352941
Mike Mayers,5,-1,8,-0.2,-0.125
Scott Barlow,5,-1,8,-0.2,-0.125
Zack Greinke,28,-7,55,-0.25,-0.12727272727272726
Jorge LA³pez,72,-12,94,-0.16666666666666666,-0.1276595744680851
FA(C)lix Bautista,63,-14,102,-0.2222222222222222,-0.13725490196078433
Bruce Zimmermann,172,-32,226,-0.18604651162790697,-0.1415929203539823
Hansel Robles,5,-1,7,-0.2,-0.14285714285714285
Drew Rasmussen,18,-3,21,-0.16666666666666666,-0.14285714285714285
Joey Krehbiel,65,-13,87,-0.2,-0.14942528735632185
Dany JimA(C)nez,9,-3,20,-0.3333333333333333,-0.15
J.P. Feyereisen,8,-3,20,-0.375,-0.15
Tanner Houck,13,-5,33,-0.38461538461538464,-0.15151515151515152
Paul Blackburn,17,-2,13,-0.11764705882352941,-0.15384615384615385
Joe Ryan,23,-7,43,-0.30434782608695654,-0.16279069767441862
Jake Walsh,8,-2,12,-0.25,-0.16666666666666666
Adrian Houser,19,-6,36,-0.3157894736842105,-0.16666666666666666
Cionel PA(C)rez,46,-18,108,-0.391304347826087,-0.16666666666666666
Keegan Akin,102,-18,107,-0.17647058823529413,-0.16822429906542055
Gerrit Cole,27,-5,29,-0.18518518518518517,-0.1724137931034483
John Means,19,-7,40,-0.3684210526315789,-0.175
Luis Severino,66,-13,74,-0.19696969696969696,-0.17567567567567569
Frankie Montas,21,-3,17,-0.14285714285714285,-0.17647058823529413
Daniel Lynch IV,22,-9,51,-0.4090909090909091,-0.17647058823529413
Jordan Montgomery,65,-14,78,-0.2153846153846154,-0.1794871794871795
Alex Lange,5,-4,22,-0.8,-0.18181818181818182
Logan Allen,10,-4,21,-0.4,-0.19047619047619047
Amir Garrett,5,-1,5,-0.2,-0.2
