source_file,team_PA_BAL,team_PA_TB,team_PA_MIL,team_PA_NYY,team_PA_TOR,team_PA_OAK,team_PA_LAA,team_PA_BOS,team_PA_MIN,team_PA_KCR,team_PA_STL,team_PA_DET,team_BA_BAL,team_BA_TB,team_BA_MIL,team_BA_NYY,team_BA_TOR,team_BA_OAK,team_BA_LAA,team_BA_BOS,team_BA_MIN,team_BA_KCR,team_BA_STL,team_BA_DET,team_MaxOpp_BAL,team_MaxOpp_TB,team_MaxOpp_MIL,team_MaxOpp_NYY,team_MaxOpp_TOR,team_MaxOpp_OAK,team_MaxOpp_LAA,team_MaxOpp_BOS,team_MaxOpp_MIN,team_MaxOpp_KCR,team_MaxOpp_STL,team_MaxOpp_DET,top3_BAL,top3_TB,top3_MIL,top3_NYY,top3_TOR,top3_OAK,top3_LAA,top3_BOS,top3_MIN,top3_KCR,top3_STL,top3_DET
04_08_22_Game_1_Bal_TB.xlsx,37,35,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,55,71,0,0,0,0,0,0,0,0,0,0,Austin Hays(+1); Kelvin Gutierrez(+1); Anthony Santander(+0),Randy Arozarena(+5); Brandon Lowe(+4); Josh Lowe(+4),,,,,,,,,,
04_09_22_Game_2_BAL_TB.xlsx,37,33,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,46,45,0,0,0,0,0,0,0,0,0,0,Jorge Mateo(+2); Ryan Mountcastle(+2); Ramon Urias(+1),Brett Phillips(+4); Francisco Mejia(+4); Kevin Kiermaier(+1),,,,,,,,,,
04_10_22_Game_3_BAL_TB.xlsx,39,41,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0,62,69,0,0,0,0,0,0,0,0,0,0,Anthony Santander(+2); Ryan Mountcastle(+1); Anthony Bemboom(+0),Harold RamA-rez(+5); Brandon Lowe(+4); Manuel Margot(+4),,,,,,,,,,
04_11_22_Game 4_MIL_BAL.xls,38,0,37,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,81,0,61,0,0,0,0,0,0,0,0,0,Cedric Mullins(+4); Robinson Chirinos(+3); Anthony Santander(+2),,Christian Yelich(+4); Andrew McCutchen(+1); Victor Caratini(+1),,,,,,,,,
04_12_22_Game_5_ MIL_BAL.xls,41,0,43,0,0,0,0,0,0,0,0,0,18,0,16,0,0,0,0,0,0,0,0,0,79,0,58,0,0,0,0,0,0,0,0,0,Cedric Mullins(+6); Anthony Santander(+4); Robinson Chirinos(+4),,Andrew McCutchen(+7); Hunter Renfroe(+3); Christian Yelich(+2),,,,,,,,,
04_13_22_Game_6_MIL_BAL.xls,0,0,0,34,39,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,36,80,0,0,0,0,0,0,0,,,,Jose Trevino(+6); Anthony Rizzo(+1); DJ LeMahieu(+1),Bradley Zimmer(+3); Cavan Biggio(+2); Matt Chapman(+2),,,,,,,
04_15_22_Game_7_NYY_BAL.xls,50,0,0,40,0,0,0,0,0,0,0,0,24,0,0,10,0,0,0,0,0,0,0,0,109,0,0,64,0,0,0,0,0,0,0,0,Jorge Mateo(+6); Austin Hays(+4); Kelvin GutiA(C)rrez(+4),,,Gleyber Torres(+4); Joey Gallo(+3); Giancarlo Stanton(+2),,,,,,,,
04_16_22_Game_8_NYY_BAL.xls,37,0,0,45,0,0,0,0,0,0,0,0,13,0,0,22,0,0,0,0,0,0,0,0,56,0,0,89,0,0,0,0,0,0,0,0,Cedric Mullins(+5); Anthony Bemboom(+3); Austin Hays(+2),,,Anthony Rizzo(+8); Aaron Judge(+5); Aaron Hicks(+4),,,,,,,,
04_17_22_Game_9_NYY_BAL.xls,38,0,0,34,0,0,0,0,0,0,0,0,22,0,0,2,0,0,0,0,0,0,0,0,80,0,0,50,0,0,0,0,0,0,0,0,Kelvin GutiA(C)rrez(+5); Robinson Chirinos(+4); Rougned Odor(+4),,,Gleyber Torres(+1); Isiah Kiner-Falefa(+1); Kyle Higashioka(+1),,,,,,,,
04_18_22_Game_10_BAL_OAK.xls,35,0,0,0,0,34,0,0,0,0,0,0,6,0,0,0,0,13,0,0,0,0,0,0,48,0,0,0,0,48,0,0,0,0,0,0,Austin Hays(+4); RamA³n UrA-as(+2); Cedric Mullins(+1),,,,,Christian Bethancourt(+4); Sheldon Neuse(+3); Billy McKinney(+2),,,,,,
04_19_22_Game_11_BAL_OAK.xls,38,0,0,0,0,36,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,65,0,0,0,0,65,0,0,0,0,0,0,Trey Mancini(+3); Anthony Santander(+2); Ryan Mountcastle(+1),,,,,Seth Brown(+6); Elvis Andrus(+3); Billy McKinney(+0),,,,,,
04_20_22_Game_12_BAL_OAK.xls,36,0,0,0,0,36,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,51,0,0,0,0,49,0,0,0,0,0,0,Kelvin GutiA(C)rrez(+1); Trey Mancini(+1); Anthony Bemboom(+0),,,,,Sheldon Neuse(+2); Tony Kemp(+2); Christian Bethancourt(+1),,,,,,
